"UWI" "TVD_GBI" "TVD" "TVD_diff"
"204" 30045355540000 5328.7 5255.51 -73.1899999999996
"205" 30045355630000 5494.97 5431.88 -63.0900000000001
"206" 30045355640000 5481.01 5407.39 -73.6199999999999
"207" 30045355830000 5189.27 5046.47 -142.8
"208" 30045355870000 5340.34 5275.39 -64.9499999999998
"209" 30045355880000 5403.02 5329.23 -73.7900000000009
"210" 30045356010000 5556.76 5493.31 -63.4499999999998
"211" 30045356020000 5529.57 5531.11 1.53999999999996
"212" 30045356050000 5583.49 5570.05 -13.4399999999996
"213" 30045356060000 5359.8 5346.29 -13.5100000000002
"214" 30045356070000 5335.97 5210.07 -125.900000000001
"215" 30045356080000 5347.4 5229.65 -117.75
"216" 30045356150000 5548.46 5448.08 -100.38
"217" 30045356160000 5567.28 5450.42 -116.86
"218" 30045356220000 5506.22 5468.36 -37.8600000000006
"219" 30045356230000 5520.03 5469.63 -50.3999999999996
"220" 30045356250000 5513.07 5484.09 -28.9799999999996
"221" 30045356270000 5327.08 5190.45 -136.63
"222" 30045356390000 5263.26 5239.27 -23.9899999999998
"223" 30045356410000 6220.95 6197.97 -22.9799999999996
"224" 30045356420000 6270.38 6112.87 -157.51
"225" 30045356430000 5266.5 5160.23 -106.27
"226" 30045356460000 5440.73 5349.52 -91.2099999999991
"227" 30045356470000 5483.44 5379.8 -103.639999999999
