"UWI" "MD" "TVD" "EWOFFSET" "NSOFFSET" "DIP" "AZM" "TVDSS" "XPATH" "YPATH" "SURNAME" "SURSTAT" "Borehole.Direction"
"182" 30045355030000 10462 5054.99 -5312.03 1073.27 91.1 268.17 1834.01 546268.7 1904204.11 "Actual" "Active" "up"
"183" 30045355040000 10382 5011.74 -5351.13 -809.35 91.19 269.04 1877.26 546212.31 1902307.45 "Actual" "Active" "up"
"184" 30045355070000 10921 5456.36 -5419.35 -933.56 90.04 274.97 1403.64 551322.11 1919794.03 "Actual" "Active" "up"
"185" 30045355190000 10570 5416.81 -5224.12 869.52 90.5 267.4 1544.19 530360.38 1920040.02 "Actual" "Active" "up"
"186" 30045355200000 10520 5358.05 -5236.34 -557.1 91.6 269.8 1602.95 530352.09 1918582.36 "Actual" "Active" "up"
"187" 30045355210000 10520 5320.51 -5018.08 2.47 88.4 270.7 1611.49 530338.71 1915611.2 "Actual" "Active" "down"
"188" 30045355240000 10400 4815.55 958 -5256.85 92.6 180.4 2060.45 556181.51 1878381.21 "Actual" "Active" "up"
"189" 30045355250000 9980 4787.59 -379.16 -5270.71 92 178 2088.41 554820.59 1878385.36 "Actual" "Active" "up"
"190" 30045355260000 9941 4761.05 -423.76 -5295.86 91.8 179.9 2133.95 552206.73 1878406.59 "Actual" "Active" "up"
"191" 30045355270000 10128 4790.08 869.76 -5336.91 91.6 182.1 2104.92 553531.36 1878393.51 "Actual" "Active" "up"
"192" 30045355290000 12029 5492.35 5990.83 748.51 89.23 86.51 1367.65 562754.26 1921473.23 "Actual" "Active" "down"
"193" 30045355300000 11288 5165.5 -5922.8 -1048.59 90.92 267.17 1726.5 482555.17 1933750.12 "Actual" "Active" "up"
"194" 30045355330100 10540 5683.7 -4923.51 -887.64 90.8 268.1 1228.3 546179.92 1931477.77 "Actual" "Active" "up"
"195" 30045355340000 10350 5702.12 -4889.65 427.32 89.7 271 1209.88 546207.99 1932822.68 "Actual" "Active" "down"
"196" 30045355380000 10419 5291.33 -5113.26 57.71 90.8 273.61 1587.67 540937.59 1912178.97 "Actual" "Active" "up"
"197" 30045355390000 10590 5312.66 -5132.55 1307.05 91.9 273.51 1572.34 540912.64 1913480.32 "Actual" "Active" "up"
"198" 30045355450000 9750 5421.34 4598.34 448.48 89 89.7 1386.66 508624.66 1933112.62 "Actual" "Active" "down"
"199" 30045355480000 10539 5118.96 -4792.46 -355.37 89.6 282.84 1793.04 556843 1895140.34 "Actual" "Active" "down"
"200" 30045355490000 10602 5047.61 -4885.92 -31.26 92.59 276.78 1862.39 556798.66 1897501.29 "Actual" "Active" "up"
"201" 30045355500000 10485 5068.78 -4909.66 1316.47 92.77 281.55 1841.22 556775.02 1898871.04 "Actual" "Active" "up"
"202" 30045355510000 10398 5093.68 -4796.76 820.43 91.23 282.03 1804.32 556816.69 1896316.02 "Actual" "Active" "up"
"203" 30045355530000 10653 5215.26 -4839.96 1290.52 91.72 280.53 1724.74 530220.36 1914798.84 "Actual" "Active" "up"
"204" 30045355540000 10721 5255.51 -4855.97 193.14 93.02 279.39 1684.99 530220.98 1913651.61 "Actual" "Active" "up"
"205" 30045355630000 10898 5431.88 6099.6 -2059.9 89.78 98.47 1593.12 561588.99 1907439.06 "Actual" "Active" "down"
